Rule_ID,Rule,Rule_Class,Evidence_Level,PR01,PR02,PR03,PR04,PR05,PR06,PR07,PR08,PR09,PR10,PR11,PR12,PR13,PR14,PR15,PR16,PR17,PR18,PR19,PR20,PR21,PR22,PR23,PR24,PR25,PR26,PR27,PR28,PR29,PR30,PR31,PR32,PR33,PR34,PR35,PR36,PR37,PR38,PR39,PR40,PR41,PR42,PR43,PR44,PR45,PR46,Deep_Audit_Finding,PR46_Action_Status
I01,Designer role/scope/language child EN,Instructions kernel,mixed:not inspected unless explicit status shown,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,No specific finding; uninspected cells are unclaimed.,No action.
I02,Authority and conflict honesty,Instructions kernel,mixed:not inspected unless explicit status shown,not inspected,not inspected,not inspected,not inspected,not inspected,strengthened,not inspected,strengthened,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,preserved,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,No unresolved issue from inspected evidence.,No action.
I03,Request Check,Instructions kernel,mixed:not inspected unless explicit status shown,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,strengthened,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,preserved,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,No unresolved issue from inspected evidence.,No action.
I04,Default audit-plus-patch,Instructions kernel,mixed:not inspected unless explicit status shown,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,preserved,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,No unresolved issue from inspected evidence.,No action.
I05,Delegation boundaries,Instructions kernel,mixed:not inspected unless explicit status shown,strengthened,strengthened,not inspected,strengthened,not inspected,not inspected,not inspected,not inspected,strengthened,strengthened,not inspected,strengthened,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,preserved,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,No unresolved issue from inspected evidence.,No action.
I06,Architecture first,Instructions kernel,mixed:not inspected unless explicit status shown,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,strengthened,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,preserved,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,No unresolved issue from inspected evidence.,No action.
I07,Super-Pipeline trigger,Instructions kernel,mixed:not inspected unless explicit status shown,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,preserved,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,superseded,not inspected,not inspected,not inspected,not inspected,not inspected,strengthened,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,preserved,No unresolved issue from inspected evidence.,No action.
I08,Combination Search,Instructions kernel,mixed:not inspected unless explicit status shown,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,strengthened,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,preserved,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,No unresolved issue from inspected evidence.,No action.
I09,Action Discovery,Instructions kernel,mixed:not inspected unless explicit status shown,not inspected,not inspected,not inspected,strengthened,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,strengthened,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,preserved,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,No unresolved issue from inspected evidence.,No action.
I10,Execution Substrate Selection and failover,Instructions kernel,mixed:not inspected unless explicit status shown,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,strengthened,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,preserved,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,strengthened,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,No unresolved issue from inspected evidence.,No action.
I11,User-Facing Russian Output,Instructions kernel,mixed:not inspected unless explicit status shown,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,preserved,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,preserved,No unresolved issue from inspected evidence.,No action.
I12,Minimal User Action / User Work Firewall,Instructions kernel,mixed:not inspected unless explicit status shown,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,strengthened,not inspected,not inspected,strengthened,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,preserved,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,strengthened,not inspected,not inspected,not inspected,preserved,No unresolved issue from inspected evidence.,No action.
I13,Target Placement and Result Lock,Instructions kernel,mixed:not inspected unless explicit status shown,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,preserved,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,strengthened,not inspected,not inspected,not inspected,not inspected,not inspected,preserved,No unresolved issue from inspected evidence.,No action.
